Pop	Rep	Sex	Num_Flies	Wet_Weight	Lipid	LperFly
H	1	F	8	7.1	432.6652012	54.08315015
H	1	F	8	7	533.3455121	66.66818901
H	1	M	8	6.4	231.7663097	28.97078871
H	1	M	8	6.2	251.0145677	31.37682096
H	1	F	8	8.6	451.19597	56.39949625
H	1	F	8	8.4	417.2560145	52.15700181
H	1	M	8	4.2	270.461923	33.80774038
H	1	M	8	4.2	244.7776799	30.59720999
H	2	F	8	8.9	510.2829047	63.78536309
H	2	F	8	7.3	387.0731305	48.38414131
H	2	M	8	5.1	228.7248851	28.59061064
H	2	M	8	5.3	232.9095676	29.11369595
H	2	F	8	11.6	510.2096227	63.77620284
H	2	F	8	10.7	348.8579544	43.6072443
H	2	M	8	5.1	223.7176399	27.96470499
H	2	M	8	5.8	243.8271042	30.47838803
H	3	F	8	7.9	485.1917237	60.64896546
H	3	M	8	5.5	292.7791829	36.59739786
H	3	M	8	4.8	195.9664789	24.49580986
H	3	F	8	8.4	555.650676	69.4563345
H	3	F	8	10.4	454.2256929	56.77821161
H	3	M	8	6	296.0757864	37.0094733
H	4	F	8	7.5	397.7543633	49.71929541
H	4	F	8	7.1	442.3561978	55.29452473
H	4	M	8	3.8	219.2885255	27.41106569
H	4	M	8	NA	201.4599212	25.18249015
H	4	F	8	6.9	593.8794264	74.2349283
H	4	F	7	8.4	490.6163195	70.08804564
H	4	M	8	4.7	228.8022702	28.60028378
H	4	M	8	6.6	231.1270229	28.89087786
H	5	F	8	NA	478.5126689	59.81408361
H	5	F	8	8.7	463.8384713	57.97980891
H	5	M	8	5.1	236.3482552	29.5435319
H	5	M	8	NA	214.4223913	26.80279891
H	5	F	8	7.7	513.4003364	64.17504205
H	5	F	8	8.1	568.9388693	71.11735866
H	5	M	8	5.5	215.9402399	26.99252999
H	6	F	8	7.6	458.2007252	57.27509065
H	6	F	8	9.9	389.7345248	48.7168156
H	6	M	8	4.2	174.7192913	21.83991141
H	6	M	8	5.1	173.6542775	21.70678469
H	6	F	8	10.8	541.8439815	67.73049769
H	6	F	8	8.2	497.5314998	62.19143748
H	6	M	8	5.9	224.1781844	28.02227305
H	6	M	8	2.8	226.4859907	28.31074884
H	7	F	8	11.9	489.9822857	61.24778571
H	7	F	8	6.6	430.8275506	53.85344383
H	7	M	8	6.3	232.1472305	29.01840381
H	7	M	8	3.4	214.0492288	26.7561536
H	7	F	7	7.3	541.1902481	77.31289259
H	7	F	8	8.4	597.2853594	74.66066993
H	7	M	8	7.9	237.6814078	29.71017598
H	7	M	8	4.6	282.4056931	35.30071164
H	8	F	8	9.7	429.451046	53.68138075
H	8	F	8	10.4	409.4329957	51.17912446
H	8	M	8	5.1	192.6882413	24.08603016
H	8	M	8	6.2	211.0698713	26.38373391
H	8	F	8	9.2	530.1286357	66.26607946
H	8	F	8	10.2	473.1990969	59.14988711
H	8	M	8	4.9	161.7614609	20.22018261
H	8	M	8	6.4	236.2713044	29.53391305
H	9	F	8	8.1	462.4268063	57.80335079
H	9	F	8	6.3	491.4226732	61.42783415
H	9	M	8	6.5	241.3388537	30.16735671
H	9	M	8	5.1	244.4238572	30.55298215
H	9	F	8	8.8	523.6675602	65.45844503
H	9	F	8	8.8	643.0377833	80.37972291
H	9	M	8	6.7	278.402745	34.80034313
H	9	M	8	5.3	216.3950226	27.04937783
H	10	F	8	10.3	623.9945711	77.99932139
H	10	F	8	NA	589.7730161	73.72162701
H	10	M	8	3.6	221.1675438	27.64594298
H	10	M	8	5.3	212.5582294	26.56977868
H	10	F	8	11.5	501.9534216	62.7441777
H	10	F	8	11.3	470.1168401	58.76460501
H	10	M	8	6	211.411054	26.42638175
H	10	M	8	5.6	188.8394083	23.60492604
B	1	F	8	9.2	551.2571057	68.90713821
B	1	F	8	7.2	427.6180175	53.45225219
B	1	F	8	8.6	525.9454882	65.74318603
B	1	F	8	NA	492.3837569	61.54796961
B	1	F	8	7.9	534.8299739	66.85374674
B	1	F	8	7.2	506.8792469	63.35990586
B	1	M	8	6.7	250.6255582	31.32819478
B	1	M	8	2.8	253.7422556	31.71778195
B	1	M	8	5.8	232.9095676	29.11369595
B	1	M	8	6.6	240.953971	30.11924638
B	1	M	8	4.8	258.4371104	32.3046388
B	1	M	8	NA	263.1557355	32.89446694
B	1	F	8	8.5	579.6670351	72.45837939
B	1	F	8	8.4	629.0175055	78.62718819
B	1	F	8	7.9	712.9593774	89.11992218
B	1	F	8	9.3	724.0566945	90.50708681
B	1	F	8	8.2	644.4472675	80.55590844
B	1	F	8	7.1	628.3200504	78.5400063
B	1	F	8	9.5	618.5912658	77.32390823
B	1	M	8	4.4	226.4859907	28.31074884
B	1	M	8	5.8	247.1600503	30.89500629
B	1	M	8	5.9	208.2607901	26.03259876
B	1	M	8	5.8	172.5944466	21.57430583
B	1	M	8	4.3	194.0710746	24.25888433
B	1	M	8	5.2	247.6375412	30.95469265
B	1	M	8	4.4	196.7052099	24.58815124
