Probe.Set.ID	FB	brain_m	brain_f	head_m	head_f	crop_m	crop_f	midgut_m	midgut_f	hindgut_m	hindgut_f	tubule_m	tubule_f	ovary_m	ovary_f	testis_m	testis_f	acc_m	acc_f	tagangl_m	tagangl_f	carc_m	carc_f	saliv_m	saliv_f	spermatV_m	spermatV_f	spermatM_m	spermatM_f	fatbody_m	fatbody_f	eye_m	eye_f	heart_m	heart_f	fly_m
1	1616608_a_at	FBgn0001128	1016.2	0.7	1874.6	1.3	994.2	0.7	1170.2	0.8	1053.1	0.7	3202.6	2.2	848.9	0.6	124.3	0.1	1036.2	0.7	876.2	0.6	2438.2	1.7	3642.5	2.5	3039	2.08	3333.4	2.29	3597.5	2.47	282.775	0.193947188	834.5	0.572359396	1458
2	1622892_s_at	FBgn0035889	114.6	1.2	64.3	0.7	87.1	0.9	53.3	0.6	72.6	0.8	52.5	0.6	145.9	1.6	586.6	6.3	110.5	1.2	89.8	1	84.9	0.9	89.8	0.97	55.4	0.6	60	0.65	67.5	0.73	76.825	0.826297392	51.525	0.554181232	93
3	1622893_at	FBgn0040736	89	0.1	4115.7	2.9	380.7	0.3	6.6	0	314.4	0.2	87.5	0.1	3	0	8.5	0	12.1	0	114.5	0.1	4432	3.1	19.1	0.01	4808.8	3.39	3689.3	2.6	4560	3.22	2281.675	1.609136429	2750.025	1.939437216	1418
4	1622894_at	FBgn0034454	6.1	0.2	35.6	1.3	17.7	0.7	8.5	0.3	20.5	0.8	4.7	0.2	7	0.3	7.5	0.3	8	0.3	6.7	0.2	113.3	4.2	16.6	0.62	192.1	7.17	80.1	2.99	187.3	6.99	18.65	0.695895522	87.125	3.250932836	26.8
5	1622895_at	FBgn0052075	78.5	0.7	61.5	0.5	69	0.6	64.2	0.6	50.2	0.4	73.1	0.6	227.8	2	40.3	0.3	141.6	1.2	83.6	0.7	58	0.5	79.1	0.68	77.7	0.67	102.3	0.88	92.5	0.79	56.8	0.487972509	55.625	0.477878007	116.4
6	1622896_at	FBgn0038966	27.8	0.3	221.6	2.7	65.4	0.8	142.9	1.7	54.9	0.7	25.9	0.3	90.4	1.1	24.5	0.3	25.5	0.3	31	0.4	176.9	2.2	23.8	0.29	81.8	1	102.6	1.25	276.8	3.38	593.675	7.25985937	293.05	3.583613574	81.8
7	1622897_at	FBgn0000606	8.4	1.1	7.2	1	9.9	1.3	7.8	1	9.2	1.2	6.8	0.9	5.7	0.7	6.7	0.9	7.5	1	14	1.9	10.8	1.4	9.7	1.29	7.3	0.96	7.8	1.04	20.5	2.72	3.1	0.410596026	4.4	0.582781457	7.6
8	1622898_a_at	FBgn0038307	212.9	0.9	107.1	0.4	85.7	0.4	106.1	0.4	125.4	0.5	102.1	0.4	339.7	1.4	244.1	1	98.4	0.4	175.7	0.7	92.6	0.4	105.4	0.44	39	0.16	51.6	0.22	75	0.31	96.925	0.404486176	95.275	0.397600417	239.6
9	1622899_at	FBgn0025807	6.9	0.8	7	0.8	9.5	1.2	6.4	0.8	8.6	1	12.1	1.5	10.8	1.3	6.6	0.8	13.1	1.6	12.6	1.5	7	0.9	8.8	1.08	5.4	0.66	9	1.09	7.5	0.92	11.95	1.457317073	6.25	0.762195122	8.2
10	1622900_at	FBgn0041236	3.7	0.9	5.3	1.2	3.1	0.7	2.3	0.5	4.6	1.1	4.4	1	2.6	0.6	5.9	1.4	30.3	7.1	5.2	1.2	4.8	1.1	10.3	2.4	3	0.7	3.2	0.74	3	0.7	4.1	0.959064327	2.6	0.608187135	4.3
11	1622901_at	FBgn0034553	3.8	0.1	4.1	0.1	3	0.1	11.1	0.3	2648	69	13.5	0.4	2.1	0.1	2.4	0.1	9.6	0.3	0.8	0	6.5	0.2	7.7	0.2	2.9	0.07	2.1	0.05	5.3	0.14	4.325	0.112630208	3.025	0.078776042	38.4
12	1622902_at	FBgn0011283	3	0	1449.2	15.6	1.8	0	1.4	0	1.2	0	2.4	0	0.9	0	1.2	0	1.7	0	2.8	0	7.7	0.1	7.1	0.08	3.7	0.04	3.3	0.04	7.7	0.08	174.925	1.884460005	3.425	0.036897388	92.8
13	1622903_s_at	FBgn0030330	273.3	2.5	116	1.1	114.6	1.1	69.8	0.6	82.8	0.8	87.4	0.8	261	2.4	16.5	0.2	210.5	1.9	281.3	2.6	72.6	0.7	139.7	1.29	70.9	0.66	85	0.79	55.6	0.51	109.4	1.012260005	61.1	0.565348138	108.1
14	1622904_at	---	4.9	1	7.1	1.4	8	1.6	3.4	0.7	7.1	1.4	3.1	0.6	4	0.8	4.8	1	9.3	1.9	4.7	0.9	7.2	1.5	20	4.05	7.8	1.58	8	1.62	11.6	2.36	3.95	0.802030457	5.6	1.137055838	4.9
15	1622905_at	---	1.5	0.7	1.4	0.7	2.9	1.4	2.2	1	0.9	0.4	2.4	1.1	0.6	0.3	1	0.5	1.1	0.5	0.8	0.4	4.1	2	6.2	2.96	3.1	1.48	1.2	0.58	1.1	0.52	2.075	1	0.725	0.34939759	2.1
16	1622906_at	---	251.6	1.9	177.7	1.3	114.2	0.8	58.9	0.4	219.9	1.6	119.5	0.9	257.5	1.9	42.7	0.3	58.3	0.4	279.3	2.1	138.1	1	80.6	0.6	97	0.72	101.9	0.76	60.8	0.45	97.4	0.724567603	31.45	0.233959457	134.4
17	1622907_at	FBgn0034350	214.1	1.9	182	1.6	159.4	1.4	200.9	1.7	173.7	1.5	145.5	1.3	86.9	0.8	26.7	0.2	204.1	1.8	235.1	2	158.9	1.4	303.4	2.63	144.1	1.25	178.1	1.54	183.1	1.59	217.525	1.884965338	279.2	2.419410745	115.4
18	1622908_a_at	FBgn0030073	5.3	0.1	56.3	1.6	11	0.3	163.5	4.6	28.8	0.8	17.3	0.5	47.5	1.3	11.5	0.3	4.7	0.1	4.7	0.1	56.6	1.6	11.2	0.32	282.4	8.03	112.8	3.21	105.7	3	73.675	2.094527363	95.05	2.702203269	35.2
19	1622909_at	FBgn0020622	206.5	1.2	99.2	0.6	186	1.1	350.5	2	201	1.2	66.2	0.4	425.2	2.4	54.5	0.3	236.8	1.4	155.8	0.9	101.9	0.6	105	0.6	96.7	0.56	108.7	0.63	157.8	0.91	86.4	0.497266187	183.95	1.058705036	173.8
20	1622910_at	---	5.7	1	4.4	0.8	4.5	0.8	5.4	0.9	4.6	0.8	3.6	0.6	2.4	0.4	6.1	1.1	3.9	0.7	5.3	0.9	7.8	1.4	9	1.57	7.1	1.24	0.8	0.14	6.9	1.2	4.425	0.769565217	3.45	0.6	5.8
21	1622911_at	---	2	3.1	2.2	3.3	1.7	2.6	1.1	1.6	0.8	1.2	2.2	3.4	2.4	3.6	3.4	5.3	1	1.6	3	4.6	5.3	8.2	8.5	13.12	4.2	6.5	4.9	7.46	4.4	6.81	2.375	3.653846154	5.075	7.807692308	0.7
22	1622912_at	FBgn0030872	154.4	2.2	57.6	0.8	39.5	0.6	65.6	0.9	88.5	1.3	95.7	1.4	63.7	0.9	2.3	0	35.1	0.5	124.8	1.8	195.8	2.8	58.6	0.84	41.3	0.59	43.2	0.62	41.6	0.6	34.8	0.497854077	42.375	0.606223176	69.9
23	1622913_a_at	FBgn0034789	87.6	13.2	24.6	3.7	5.3	0.8	14.7	2.2	3.3	0.5	4	0.6	5.3	0.8	1.8	0.3	7.1	1.1	54.8	8.3	5.3	0.8	6.6	0.99	3	0.46	5.8	0.87	1.9	0.28	8.075	1.218867925	1.5	0.226415094	6.6
24	1622914_at	---	1.2	0.5	2.6	1	2.3	0.9	6.2	2.3	3	1.1	1.6	0.6	0.6	0.2	0.7	0.3	1.6	0.6	2.4	0.9	4.8	1.8	2.9	1.08	3.4	1.29	1.6	0.6	0.8	0.31	2.825	1.066037736	2.175	0.820754717	2.7
25	1622915_at	FBgn0035786	2	0	2.3	0.1	3	0.1	5.4	0.1	6.9	0.2	2.3	0.1	1.1	0	769.5	17.3	6.6	0.1	3.1	0.1	10.1	0.2	7	0.16	3.4	0.08	4.2	0.09	5.5	0.12	3.6	0.080717489	0.85	0.019058296	44.6
26	1622916_at	FBgn0030540	3	1.1	3.4	1.2	1.8	0.7	7.3	2.7	4.8	1.7	3.3	1.2	4.4	1.6	0.7	0.3	5.4	2	5.7	2.1	3.2	1.1	6.6	2.38	3.8	1.37	4.4	1.6	4.1	1.47	3.675	1.336363636	3.7	1.345454545	2.8
27	1622917_a_at	FBgn0259701	1.2	0	3.6	0	6.8	0	4.3	0	3.4	0	3	0	2.1	0	1493.1	10.8	8.9	0.1	6	0	11	0.1	4.6	0.03	4	0.03	6.4	0.05	6.4	0.05	4.425	0.032100109	3.05	0.022125499	137.9
28	1622918_at	---	3	1.1	3.5	1.3	3.2	1.2	2.7	1	1.8	0.7	3.4	1.3	1	0.4	1.6	0.6	3.3	1.3	2.2	0.8	4.4	1.7	4	1.51	4.7	1.79	3.5	1.32	6.2	2.35	6.075	2.314285714	4.275	1.628571429	2.6
29	1622919_at	FBgn0037227	4	1.6	2.9	1.1	2.5	1	2.7	1.1	1.9	0.7	1.4	0.6	1.2	0.5	9.5	3.7	3.7	1.4	2.6	1	3	1.2	6.3	2.45	2.6	1.02	2.6	1.03	7	2.75	5	1.960784314	4.05	1.588235294	2.6
30	1622920_at	FBgn0003861	74.3	0.4	2649.8	14.1	2.2	0	5.6	0	2	0	2.4	0	0.5	0	3	0	2.1	0	3.7	0	1.6	0	5.4	0.03	2.7	0.01	3.4	0.02	1.2	0.01	6507.75	34.54219745	5.075	0.026937367	188.4
31	1622921_at	FBgn0052022	228.2	1.1	135	0.7	137.2	0.7	76.7	0.4	101.1	0.5	71	0.4	275.5	1.4	641.6	3.2	223.2	1.1	178.6	0.9	92.7	0.5	122.6	0.61	123.1	0.61	139.9	0.7	110.9	0.55	153.55	0.766791511	128.4	0.641198502	200.3
32	1622922_at	FBgn0083975	25.9	5.6	5	1.1	4.8	1	2.2	0.5	1.7	0.4	3.4	0.7	2.1	0.5	10.5	2.3	4.9	1.1	14.6	3.2	5.8	1.3	15.3	3.31	3.7	0.79	5.2	1.13	5.9	1.28	3.525	0.762162162	3.65	0.789189189	4.6
33	1622923_at	FBgn0025878	227.9	24	84.9	8.9	4.2	0.4	3.1	0.3	4.9	0.5	7.3	0.8	2.3	0.2	2.6	0.3	4.8	0.5	372.6	39.2	5.2	0.5	5.4	0.57	4.9	0.52	6.9	0.72	7.2	0.76	36.475	3.839473684	1.95	0.205263158	9.5
