Probe.Set.ID	FB	brain_m	brain_f	head_m	head_f	crop_m	crop_f	midgut_m	midgut_f	hindgut_m	hindgut_f	tubule_m	tubule_f	ovary_m	ovary_f	testis_m	testis_f	acc_m	acc_f	tagangl_m	tagangl_f	carc_m	carc_f	saliv_m	saliv_f	spermatV_m	spermatV_f	spermatM_m	spermatM_f	fatbody_m	fatbody_f	eye_m	eye_f	heart_m	heart_f	fly_m
34	1622924_at	FBgn0034326	3	0.1	3.1	0.1	6.5	0.1	8.6	0.2	2.8	0.1	6.6	0.1	3.5	0.1	5	0.1	4.7	0.1	7	0.1	330.6	7	7.2	0.15	4.6	0.1	3.4	0.07	9.5	0.2	2.85	0.060063224	3.4	0.071654373	47.5
35	1622925_at	---	213	1.6	29.9	0.2	87.5	0.7	78.9	0.6	86.4	0.7	43.8	0.3	374	2.8	48.2	0.4	61.5	0.5	100.4	0.8	54.8	0.4	53.2	0.4	35.7	0.27	52.5	0.4	61.8	0.47	37.5	0.284037114	56.725	0.429653475	132
36	1622926_at	FBgn0032450	20.7	0.2	23.2	0.3	32.6	0.4	23.9	0.3	18	0.2	22.6	0.2	291.1	3.2	11.6	0.1	41.6	0.5	20.2	0.2	21.9	0.2	25.4	0.28	16.9	0.19	26	0.29	32.5	0.36	13.075	0.144355506	14.45	0.159536296	90.6
37	1622927_at	FBgn0033312	1.2	0.5	1.8	0.7	1	0.4	4	1.5	2.2	0.9	2.3	0.9	1	0.4	1.5	0.6	3.6	1.4	0.6	0.2	4.4	1.7	11.5	4.48	3.2	1.24	4.5	1.76	2.5	0.97	3.6	1.398058252	8.15	3.165048544	2.6
38	1622928_at	FBgn0038576	103.5	1.4	49.5	0.7	47.4	0.7	39.3	0.5	49.2	0.7	56.1	0.8	107	1.5	206.7	2.9	76.2	1.1	104.8	1.5	36.3	0.5	63.1	0.88	65.4	0.91	66.8	0.93	29.3	0.41	50.875	0.709801186	25.15	0.350889431	71.7
39	1622929_at	---	75.6	13.3	7.3	1.3	12.2	2.1	3.3	0.6	4.4	0.8	2.3	0.4	1.4	0.2	8.1	1.4	8.3	1.5	57.2	10	6.7	1.2	4	0.71	1.3	0.22	1.6	0.29	6	1.06	11.25	1.973684211	8.2	1.438596491	5.7
40	1622930_a_at	FBgn0027873	47.5	0.6	39.4	0.5	49.8	0.6	60.9	0.8	45.9	0.6	98.1	1.2	143.2	1.8	41.3	0.5	70.8	0.9	46.7	0.6	41.7	0.5	46.8	0.58	87	1.09	81.2	1.01	48	0.6	41.3	0.515283843	38.875	0.485028072	80.2
41	1622931_at	FBgn0035617	96.1	1.8	29.2	0.5	44.1	0.8	33.3	0.6	32.4	0.6	37.1	0.7	204.5	3.7	33.2	0.6	57.8	1.1	74.6	1.4	32.6	0.6	67.8	1.24	52.1	0.95	52.4	0.96	38	0.69	36.475	0.666210046	24.325	0.444292237	54.8
42	1622932_s_at	FBgn0003447	140.9	0.8	334.8	1.9	14.3	0.1	28.6	0.2	16.8	0.1	12.9	0.1	343.3	1.9	71.9	0.4	13.1	0.1	127.1	0.7	17.7	0.1	13.2	0.07	11.1	0.06	17	0.09	21.2	0.12	1488.325	8.282276016	11.475	0.063856427	179.7
43	1622933_at	FBgn0034729	10.3	0.3	10.7	0.3	15.7	0.4	42.4	1.1	27.6	0.7	39.6	1	78.2	2.1	148.9	3.9	19.6	0.5	9	0.2	17.7	0.5	40	1.06	9.2	0.24	11.6	0.31	23.3	0.61	14.15	0.373844122	21.625	0.571334214	37.9
44	1622934_at	FBgn0003559	16.6	2	8.9	1.1	20	2.4	18.4	2.3	15.6	1.9	10.7	1.3	10.3	1.3	3.1	0.4	14	1.7	9.2	1.1	9.8	1.2	21.3	2.61	4.1	0.5	3.7	0.45	12.2	1.49	8.275	1.012232416	9.6	1.174311927	8.2
45	1622935_at	FBgn0033145	3.3	0	4.9	0	8.8	0.1	6.8	0.1	6.7	0.1	27	0.3	5.3	0.1	13	0.1	6504.6	62.5	7	0.1	15.6	0.2	13.2	0.13	5.5	0.05	4.4	0.04	9.6	0.09	1.25	0.012010569	4.675	0.044919529	104.1
46	1622936_at	---	3.2	1.6	1.1	0.5	4	1.9	1	0.5	2.6	1.3	2.2	1.1	0.3	0.1	3.2	1.5	2.7	1.3	5.5	2.7	1.5	0.7	1.5	0.71	1.2	0.56	3.9	1.91	1.8	0.89	0.6	0.292682927	1.375	0.670731707	2.1
47	1622937_at	FBgn0036773	81.7	1.3	98.3	1.6	197.9	3.2	10.9	0.2	121.8	2	60.9	1	101.7	1.6	44.9	0.7	156.1	2.5	31.6	0.5	63.7	1	112.4	1.82	331.8	5.38	395.1	6.41	17.8	0.29	168.125	2.727088402	16.025	0.259935118	61.7
48	1622938_at	---	7.9	3.1	3.9	1.6	3.7	1.4	9.1	3.6	4.5	1.8	4.8	1.9	1.1	0.4	3.4	1.3	4.9	1.9	4.1	1.6	5.2	2.1	10.4	4.13	6.2	2.45	9.3	3.69	7.9	3.14	2.65	1.04950495	2.75	1.089108911	2.5
49	1622939_at	FBgn0020497	527.5	1.6	398.7	1.2	462.6	1.4	263.8	0.8	376.3	1.1	461.6	1.4	500.8	1.5	80.3	0.2	333.5	1	465.3	1.4	267.9	0.8	378.6	1.14	590.7	1.78	637.7	1.92	395.6	1.19	812.625	2.451727259	641.025	1.934002112	331.5
50	1622940_at	FBgn0030721	1.5	0.1	2.1	0.1	1.8	0.1	1	0	1	0	2.6	0.1	2	0.1	363.3	17.8	5	0.2	1	0	4	0.2	2.1	0.1	1.2	0.06	2.2	0.11	3.6	0.18	0.575	0.028186275	2.05	0.100490196	20.4
51	1622941_at	FBgn0033529	713.8	1.9	560	1.5	897.7	2.4	490.5	1.3	979.4	2.6	746.9	2	452.2	1.2	421	1.1	816.8	2.2	684.7	1.8	397.9	1.1	971.3	2.59	296.4	0.79	316.8	0.84	304.3	0.81	996.65	2.655962692	497.35	1.325383078	375.3
52	1622942_at	FBgn0051959	27.6	11.9	7.5	3.2	10.3	4.4	6.5	2.8	8.8	3.8	5	2.2	4.4	1.9	2.2	0.9	6.8	2.9	20.3	8.7	14.5	6.2	15	6.44	8.5	3.66	9.5	4.08	12.2	5.24	5.8	2.494623656	4.075	1.752688172	2.3
53	1622943_s_at	FBgn0030323	130	1.6	60.6	0.8	40.7	0.5	42.5	0.5	34.7	0.4	44.3	0.6	162.7	2	37.6	0.5	97.8	1.2	91.2	1.1	39.2	0.5	55.2	0.69	33.7	0.42	44.2	0.55	33.9	0.42	77.7	0.970643348	41.3	0.515927545	80.1
54	1622944_at	FBgn0033309	132.6	0.8	104.2	0.6	203.4	1.2	87.3	0.5	107.4	0.6	40.5	0.2	247.7	1.4	368.3	2.1	267.2	1.6	106.6	0.6	108	0.6	134.6	0.78	48.3	0.28	53.9	0.31	89.8	0.52	144.225	0.837421977	121.5	0.705472492	172.2
55	1622945_a_at	FBgn0027084	236.8	0.6	228.4	0.6	200	0.5	215.9	0.6	166	0.4	302.2	0.8	660.7	1.8	64.6	0.2	450.8	1.2	305.3	0.8	184.9	0.5	271.8	0.73	209.5	0.56	249.8	0.67	254	0.68	543.6	1.461978081	150.925	0.405903315	371.8
56	1622946_at	FBgn0037936	40.2	0.3	602	4.8	41.9	0.3	983.1	7.9	459.8	3.7	1136	9.1	18.3	0.1	25.8	0.2	11.1	0.1	35.8	0.3	258.9	2.1	13.9	0.11	218.8	1.75	99.7	0.8	142.4	1.14	518.925	4.158052885	100.775	0.807491987	124.8
57	1622947_s_at	FBgn0004363	2424.9	1.3	2246.9	1.2	1893.6	1	2225.7	1.2	3131.2	1.7	2938	1.6	2039.1	1.1	796.2	0.4	1458.6	0.8	3065.9	1.6	2626.2	1.4	1501.7	0.8	3179.1	1.68	3029	1.6	2837	1.5	2716.025	1.438839298	2350.325	1.245106349	1887.7
58	1622948_at	FBgn0037885	61.7	0.7	57	0.6	146.3	1.6	78.3	0.9	49.8	0.6	84.9	0.9	154.2	1.7	108.4	1.2	198.8	2.2	58.2	0.6	69.5	0.8	73.1	0.81	62.4	0.69	78.3	0.87	60.1	0.67	63.175	0.700776484	66.5	0.737659456	90.2
59	1622949_at	FBgn0003053	9.8	0.1	38.2	0.5	9.8	0.1	285.8	3.8	101.4	1.3	20	0.3	48.4	0.6	58.6	0.8	1.8	0	6.8	0.1	122	1.6	44.4	0.59	166.4	2.21	208.2	2.77	158	2.1	303.675	4.039574327	286.25	3.807781842	75.2
60	1622950_a_at	FBgn0034611	148.7	0.5	173.6	0.6	235.5	0.8	477.6	1.7	325.1	1.2	822.4	2.9	439.7	1.6	123.1	0.4	1493.7	5.3	135.5	0.5	201.3	0.7	1311.4	4.65	978	3.46	1009.2	3.58	405.9	1.44	173.8	0.615711629	332.65	1.178460721	282.3
61	1622951_at	---	3.1	1.8	4.8	2.8	3.8	2.2	3.7	2.2	1	0.6	4.7	2.7	2.2	1.3	2.8	1.6	2.9	1.7	0.8	0.5	6.2	3.6	5.7	3.37	5.1	2.99	4	2.35	8.9	5.21	3.325	1.955882353	3.55	2.088235294	1.7
62	1622952_at	FBgn0067903	9.2	0.1	33.6	0.5	6.6	0.1	16.7	0.2	13.1	0.2	6.7	0.1	3	0	658.9	9	7.7	0.1	9.8	0.1	25.4	0.3	10.7	0.15	12.2	0.17	11.1	0.15	32.8	0.45	17.375	0.238258485	16.3	0.223517312	72.9
63	1622953_at	---	4.2	1.8	3.4	1.5	6.2	2.6	4.8	2.1	1.6	0.7	3.8	1.6	2.7	1.2	1.6	0.7	9.4	4	6.3	2.7	7.4	3.2	12.1	5.2	6.3	2.71	3.8	1.61	9.2	3.94	3.025	1.301075269	2.975	1.279569892	2.3
64	1622954_at	---	2.3	0.7	1.8	0.6	2.7	0.9	3.9	1.3	2.3	0.8	3.2	1	3.6	1.2	1.4	0.4	3.9	1.3	4.9	1.6	6.3	2.1	13.6	4.42	2	0.64	1.3	0.41	1.4	0.46	0.8	0.260162602	2.15	0.699186992	3.1
65	1622955_at	---	3.5	0.6	4.5	0.8	1.2	0.2	5.1	0.9	8.4	1.6	4.3	0.8	3	0.6	1.4	0.3	5.1	0.9	4.8	0.9	8	1.5	5.8	1.08	5.9	1.11	8	1.5	6.9	1.29	2.15	0.401869159	7.525	1.406542056	5.4
66	1622956_at	FBgn0051542	1.2	0	1.9	0	3.1	0	2.4	0	6.6	0	2.2	0	1.4	0	1424.4	10.1	2.3	0	1.7	0	4.3	0	3.6	0.03	2.3	0.02	5.1	0.04	1.6	0.01	3.425	0.02416652	1.8	0.012700653	141.7
67	1622957_s_at	FBgn0028407	568.3	31	111.4	6.1	11.1	0.6	6.1	0.3	5.9	0.3	8.4	0.5	1.1	0.1	89.9	4.9	11.2	0.6	315.8	17.2	6.1	0.3	26	1.42	19.2	1.04	20.9	1.14	23.3	1.27	17.9	0.975476839	1.375	0.07493188	18.4
68	1622958_at	FBgn0050288	1	2.7	2.1	5.5	2.3	6	1	2.6	1.6	4.1	2.1	5.5	1	2.7	1.1	3	2.5	6.5	3	7.9	5.3	14.2	3.8	10.07	2.5	6.67	1.4	3.67	5	13.33	2.45	6.533333333	2.775	7.4	0.4
69	1622959_at	FBgn0261016	7.8	0.1	11.2	0.1	14.9	0.1	13.4	0.1	14.4	0.1	17.3	0.2	389.2	3.4	45.8	0.4	27	0.2	10.3	0.1	20.1	0.2	28.1	0.25	15.1	0.13	11.1	0.1	22	0.19	8.7	0.07591623	7.3	0.063699825	114.6
70	1622960_at	FBgn0028381	0.6	0	7.6	0	9.3	0.1	2023.8	12.1	453.7	2.7	877.7	5.3	2	0	26	0.2	4.7	0	0.9	0	9.5	0.1	8.3	0.05	3.5	0.02	3	0.02	6.3	0.04	4.175	0.025003743	3.775	0.022608175	167
71	1622961_at	---	1.3	0.4	3.2	0.9	3.6	1	2.6	0.7	4.2	1.2	5.8	1.6	1.2	0.3	4.3	1.2	2.8	0.8	3	0.8	3.5	1	4.1	1.14	3.3	0.9	1.8	0.49	3.9	1.07	3.575	0.986206897	5.15	1.420689655	3.6
72	1622962_a_at	FBgn0031500	75	1.2	65.5	1	73.4	1.2	57.1	0.9	70.4	1.1	92.8	1.5	62.6	1	44.8	0.7	56.2	0.9	94.9	1.5	134.1	2.1	99.5	1.56	163.6	2.57	96.6	1.52	107.7	1.69	78.225	1.229469548	96.875	1.52259332	63.6
73	1622963_at	---	3.4	1.3	3.5	1.3	2.5	0.9	1.9	0.7	2.2	0.8	7.3	2.7	1.8	0.7	1.9	0.7	6.9	2.6	3.9	1.5	5.1	1.9	6.3	2.36	5.3	1.98	6.6	2.49	2.1	0.77	2.425	0.91509434	1.85	0.698113208	2.7
74	1622964_at	FBgn0085374	1.4	0.3	3.9	0.8	2.3	0.5	1.1	0.2	6.7	1.4	4	0.8	2.5	0.5	2.7	0.6	224	46.9	2.2	0.5	5.4	1.1	1.2	0.24	8.3	1.73	5.4	1.14	11.2	2.34	1.875	0.392670157	3.3	0.691099476	4.8
75	1622965_s_at	FBgn0259967	2.4	0	3.5	0	4	0	3.8	0	4.5	0	2.8	0	1.2	0	7.9	0.1	6547.6	73.4	2.7	0	15.1	0.2	9.3	0.1	2.1	0.02	4	0.05	6.1	0.07	1.15	0.012885154	3.125	0.035014006	89.3
76	1622966_at	FBgn0039739	11.2	0.8	10.5	0.7	12.2	0.8	23.5	1.6	11.7	0.8	15.1	1	6	0.4	139.3	9.4	7.1	0.5	12.2	0.8	15	1	11.3	0.76	10.6	0.72	21.3	1.43	17.9	1.21	7.35	0.494949495	5.175	0.348484848	14.9
77	1622967_at	---	3.7	1.7	1.5	0.7	5.1	2.4	2.5	1.2	7.2	3.4	4.1	1.9	0.8	0.4	3.4	1.6	6.3	3	3	1.4	7.6	3.6	4.7	2.19	1.4	0.66	2.2	1.04	4.7	2.22	1.85	0.870588235	1.775	0.835294118	2.1
78	1622968_at	FBgn0040087	80.8	0.9	67.3	0.7	82.3	0.9	105.9	1.1	62.7	0.7	119.2	1.3	128.5	1.4	50.8	0.5	308.3	3.3	80.4	0.9	66.6	0.7	387.2	4.18	101.3	1.09	93.2	1.01	104.7	1.13	98.775	1.065246697	121.35	1.308708547	92.7
79	1622969_at	FBgn0050484	1.1	0.3	1.3	0.4	0.6	0.2	0.6	0.2	0.7	0.2	1.2	0.4	0.9	0.3	19.6	5.8	1.3	0.4	1.6	0.5	2	0.6	4	1.18	2	0.57	3.3	0.98	2.5	0.74	1	0.294117647	1.5	0.441176471	3.4
80	1622970_at	FBgn0053556	134.3	1.6	204.4	2.5	230.7	2.8	40.9	0.5	350.9	4.3	35.4	0.4	6.4	0.1	22.1	0.3	79.7	1	226	2.8	385.8	4.7	610.3	7.45	86.1	1.05	111.1	1.36	58.9	0.72	263.825	3.220323467	74.45	0.90875801	81.9
81	1622971_at	FBgn0034380	185.9	2	87.6	1	54	0.6	54.1	0.6	66.6	0.7	53.9	0.6	151.9	1.7	130.8	1.4	165.5	1.8	200.7	2.2	43.5	0.5	111.4	1.22	36.5	0.4	44.2	0.48	50.9	0.56	85.475	0.938254665	39.475	0.433315038	91.1
82	1622972_at	---	6.5	1	4.2	0.7	12.2	1.9	3.2	0.5	9.1	1.4	8.7	1.4	4.8	0.8	4.8	0.8	10.3	1.6	11.8	1.9	14.6	2.3	18.5	2.92	14	2.2	13.7	2.16	13.2	2.08	8.425	1.326771654	3.325	0.523622047	6.4
83	1622973_at	FBgn0038110	79	0.5	113.1	0.8	155.1	1.1	338	2.3	118.8	0.8	187.7	1.3	249.5	1.7	67.2	0.5	221.3	1.5	127.2	0.9	145.2	1	123.3	0.84	503.7	3.45	389.3	2.67	266.3	1.82	109	0.746319754	233.925	1.601677508	146.1
84	1622974_at	FBgn0038820	28	0.1	968.4	1.9	14.3	0	3.7	0	4.5	0	4.2	0	0.9	0	1.1	0	2.6	0	40.3	0.1	2606.8	5.1	15	0.03	45.2	0.09	48.8	0.1	87.6	0.17	938.175	1.853093674	492.95	0.973680312	506.3
85	1622975_at	FBgn0036438	0.8	0	0.6	0	1.4	0	1	0	3.9	0	3.1	0	1.5	0	2111.7	9.3	5.7	0	0.9	0	4.7	0	9.5	0.04	3.4	0.01	1.6	0.01	1.2	0.01	2.125	0.009398496	1.1	0.004865104	226.1
86	1622976_at	FBgn0002781	56.3	2.6	18.9	0.9	22.4	1	11.9	0.5	14.7	0.7	13.1	0.6	59.8	2.7	6	0.3	11.7	0.5	37.6	1.7	12.9	0.6	24.5	1.13	12.2	0.56	13.9	0.64	15.6	0.72	15.5	0.712643678	6.35	0.291954023	21.8
87	1622977_at	FBgn0029535	2.6	0.2	4.3	0.3	5.9	0.4	9.1	0.6	5.4	0.4	2.5	0.2	2.5	0.2	196.2	13	4.4	0.3	4	0.3	3.9	0.3	9.4	0.62	3.6	0.24	4.6	0.31	6.2	0.41	3.525	0.233057851	2.05	0.13553719	15.1
88	1622978_at	FBgn0036972	2.6	0.1	1.6	0.1	2	0.1	1.3	0.1	2.8	0.1	2.1	0.1	0.4	0	7.6	0.4	76.2	4.1	2.1	0.1	1.1	0.1	7.4	0.4	2.3	0.12	3.2	0.17	2.6	0.14	0.675	0.036	0.975	0.052	18.8
