rel_chasing_duration sex evo
1 0 m B
2 0.000115667110057255 m B
3 0.00404834885200393 m B
4 0.000520501995257648 m B
5 0.00601468972297727 m B
6 0.00323867908160315 m B
7 0.0087907003643514 m B
8 0.0023133422011451 m B
9 0.00306517841651726 m B
10 0.00445318373720433 m B
11 0 m B
12 0.00266034353131687 m B
13 0 m B
14 0 m B
15 0.000115667110057255 m B
16 0.00109883754554392 m B
17 0 m B
18 0.00381701463188942 m B
19 0.0249840957723671 m B
20 5.78335550286276e-05 m B
21 0.00896420102943728 m B
22 0.0154993927476722 m B
23 0.0299577815048291 m B
24 0.0499103579897056 m B
25 0.0358568041177491 m B
26 0.0181019027239604 m B
27 0.0333121276964895 m B
28 0.00491585217743335 m B
29 0.0114510438956683 m B
30 0.028107107743913 m B
31 0.0212249146955063 m B
32 0 m B
33 0.00202417442600197 m B
34 0.0769186281880747 m B
35 0 m B
36 0.000289167775143138 m B
37 0.000578335550286276 m B
38 0 m B
39 0.00254467642125961 m B
40 0.00613035683303453 m B
41 0.0228442542363079 m B
42 5.78335550286276e-05 m B
43 0.000462668440229021 m B
44 0.00173500665085883 m B
45 0 m B
46 0.000809669770400787 m B
47 0 m B
48 0.00410618240703256 m B
49 0.00480018506737609 m B
50 0.00213984153605922 m B
51 0 m B
52 0 m B
53 0 m B
54 0.00387484818691805 m B
55 0.0594528945694292 m B
56 0.00213984153605922 m B
57 0 m B
58 0.000867503325429414 m B
59 0.000289167775143138 m B
60 0.00300734486148864 m B
61 0.00370134752183217 m B
62 0 m B
63 0.000809669770400787 m B
64 0.0121450465560118 m B
65 5.78335550286276e-05 m B
66 0.0956567000173501 m B
67 0 m B
68 0.00312301197154589 m B
69 0.00323867908160315 m B
70 0.000115667110057255 m B
71 0 m B
72 0.00225550864611648 m B
73 0.00121450465560118 m B
74 0.0384014805390087 m B
75 0.000809669770400787 m B
76 0 m B
77 0.0982013764386097 m B
78 0.000289167775143138 m B
79 0 m B
80 0 m B
81 0 m B
82 0.000751836215372159 m B
83 0.000925336880458042 m B
84 5.78335550286276e-05 m B
85 0.000115667110057255 m B
86 0.000173500665085883 m B
87 0 m B
88 0.0016771730958302 m B
89 0 m B
90 0.000404834885200393 m B
91 0.104389566826673 m H
92 0.000983170435486669 m H
93 0.0659880862876641 m H
94 0.022670753571222 m H
95 0.00821236481406512 m H
96 0.0875021687583136 m H
97 0.0134173847666416 m H
98 0.0094268694696663 m H
99 0.0470186802382742 m H
100 0.0508356948701637 m H
101 0.0151523914175004 m H
102 0.0582962234688566 m H
103 0.0888901740790006 m H
104 0.0515875310855358 m H
105 0.0680700942686947 m H
106 0.0294951130646001 m H
107 0.0513561968654213 m H
108 0.0410618240703256 m H
109 0.0834538199063096 m H
110 0.0470765137933029 m H
111 0.0177549013937887 m H
112 0.0126655485512694 m H
113 0.00023133422011451 m H
114 0.0324446243710601 m H
115 0.00601468972297727 m H
116 0.00196634087097334 m H
117 0.0146897229772714 m H
118 0.0462668440229021 m H
119 0.00526285350760511 m H
120 0.0320397894858597 m H
121 0.0236539240067087 m H
122 0.0319819559308311 m H
123 0.0263721010930542 m H
124 0.0279336070788271 m H
125 0.0165982302932161 m H
126 0.0313457868255162 m H
127 0.0671447573882367 m H
128 0.0120293794459545 m H
129 0.0512405297553641 m H
130 0.0169452316233879 m H
131 0.00219767509108785 m H
132 0 m H
133 0.00520501995257648 m H
134 0.049852524434677 m H
135 0.0519345324157076 m H
136 5.78335550286276e-05 m H
137 0.0126077149962408 m H
138 0 m H
139 0.0368978081082644 m H
140 0.0196634087097334 m H
141 0 m H
142 0.00109883754554392 m H
143 0.000404834885200393 m H
144 0.0149210571973859 m H
145 0 m H
146 0.0156150598577295 m H
147 0.00023133422011451 m H
148 0.00508935284251923 m H
149 0 m H
150 0 m H
