rel_attcop_duration sex evo
1 0 m B
2 0.0371869758834076 m B
3 0.000404834885200393 m B
4 0.0771499624081892 m B
5 0.00283384419640275 m B
6 0.00138800532068706 m B
7 0.0272974379735122 m B
8 0.0115088774506969 m B
9 0.0229599213463652 m B
10 0.000578335550286276 m B
11 0.00202417442600197 m B
12 0.0105835405702389 m B
13 0.00248684286623099 m B
14 0.00728702793360708 m B
15 0.0148053900873287 m B
16 0.00566768839280551 m B
17 0.000983170435486669 m B
18 0.0157885605228153 m B
19 0.0491006882193048 m B
20 0.00023133422011451 m B
21 0.060725232780059 m B
22 0.127233821062981 m B
23 0.0352784685674628 m B
24 0.123705974206234 m B
25 0.126077149962408 m B
26 0.0827598172459661 m B
27 0.0962350355676363 m B
28 0.0322132901509456 m B
29 0.0740269504366433 m B
30 0.0534382048464519 m B
31 0.10537273726216 m B
32 0.00844369903417963 m B
33 0.0196634087097334 m B
34 0.06321207564629 m B
35 0.00566768839280551 m B
36 0.00624602394309178 m B
37 0.00294951130646001 m B
38 0.00485801862240472 m B
39 0.072523278005899 m B
40 0.0154415591926436 m B
41 0.0168295645133306 m B
42 0.00318084552657452 m B
43 0.0050315192874906 m B
44 0.00555202128274825 m B
45 0.00138800532068706 m B
46 0.0489850211092476 m B
47 0.00404834885200393 m B
48 0.0142270545370424 m B
49 0.0342374645769475 m B
50 0.00208200798103059 m B
51 0 m B
52 0 m B
53 0.0148632236423573 m B
54 0.00988953790989532 m B
55 0.0545948759470245 m B
56 0.0077496963738361 m B
57 0 m B
58 0.0238852582268232 m B
59 0.00023133422011451 m B
60 0.0110462090104679 m B
61 0.00352784685674628 m B
62 0.0258515990977965 m B
63 0.00653519171823492 m B
64 0.0198369093748193 m B
65 0.00537852061766237 m B
66 0.096292869122665 m B
67 0.00497368573246197 m B
68 0.00566768839280551 m B
69 0.00179284020588746 m B
70 0.00161933954080157 m B
71 5.78335550286276e-05 m B
72 0.272511711294893 m B
73 0.041929327395755 m B
74 0.110057255219478 m B
75 0.00208200798103059 m B
76 0.0630385749812041 m B
77 0.0725811115609277 m B
78 0.0395003180845527 m B
79 0.00289167775143138 m B
80 0.00121450465560118 m B
81 0.00757619570875022 m B
82 0.00468451795731884 m B
83 0 m B
84 0 m B
85 0.00347001330171766 m B
86 0.00480018506737609 m B
87 0.00526285350760511 m B
88 0.00821236481406512 m B
89 0.00237117575617373 m B
90 0.005436354172691 m B
91 0.1319183390203 m H
92 0.0195477415996761 m H
93 0.146376727777456 m H
94 0.0949626973570065 m H
95 0.031056619050373 m H
96 0.140477705164536 m H
97 0.0635590769764617 m H
98 0.0470765137933029 m H
99 0.0460933433578162 m H
100 0.158174773003297 m H
101 0.0712509397952692 m H
102 0.0925915216008328 m H
103 0.116997281822914 m H
104 0.116997281822914 m H
105 0.22167601642473 m H
106 0.11040425654965 m H
107 0.143485050026025 m H
108 0.16309062518073 m H
109 0.212133479845006 m H
110 0.0676074258284657 m H
111 0.300560985483778 m H
112 0.123243305766005 m H
113 0.0555202128274825 m H
114 0.109189751894049 m H
115 0.0708461049100688 m H
116 0.0525707015210225 m H
117 0.206697125672315 m H
118 0.165866635822104 m H
119 0.110693424324793 m H
120 0.154415591926436 m H
121 0.165924469377133 m H
122 0.105199236597074 m H
123 0.194320744896189 m H
124 0.1909085651495 m H
125 0.108958417673934 m H
126 0.1614134520849 m H
127 0.168064310913192 m H
128 0.0698051009195535 m H
129 0.191139899369614 m H
130 0.0814874790353363 m H
131 0.00722919437857845 m H
132 0 m H
133 0.0067086923833208 m H
134 0.0392689838644381 m H
135 0.0451101729223295 m H
136 0.000636169105314904 m H
137 0.0485223526690186 m H
138 0.0162512289630444 m H
139 0.11884795558383 m H
140 0.0780752992886473 m H
141 0 m H
142 0.00821236481406512 m H
143 0 m H
144 0.289341275808224 m H
145 0.00404834885200393 m H
146 0.110346422994621 m H
147 0.00300734486148864 m H
148 0.0416979931756405 m H
149 0.000925336880458042 m H
150 0.000115667110057255 m H
